Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Barts Health NHS Trust,19,15,10,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.941328849,14638
Barts Health NHS Trust,21,17,13,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.948944323,16922
Barts Health NHS Trust,22,18,14,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.934460747,18672
Barts Health NHS Trust,24,20,17,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.907629137,19362
Barts Health NHS Trust,20,17,13,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.889242788,20445
Barts Health NHS Trust,14,12,10,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.880278113,19508
Barts Health NHS Trust,12,10,8,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.856807359,18777
Barts Health NHS Trust,8,6,4,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.785623665,18701
Barts Health NHS Trust,6,4,2,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.757528219,16427
Barts Health NHS Trust,8,6,3,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.838780555,15882
Barts Health NHS Trust,11,8,3,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.863815617,20513
Barts Health NHS Trust,12,7,3,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.854776662,21740
Barts Health NHS Trust,15,11,7,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.866943765,23000
Barts Health NHS Trust,21,17,13,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.834924049,25046
Barts Health NHS Trust,22,18,15,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.831414203,23427
Barts Health NHS Trust,21,17,14,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.800009892,22342
Barts Health NHS Trust,21,17,13,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.780847817,23676
Barts Health NHS Trust,16,13,10,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.760447165,24534
Barts Health NHS Trust,11,8,6,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.76233323,22388
Barts Health NHS Trust,9,7,5,2827873,168083,168824,170096,155499,187205,249701,256770,233582,211807,188619,182312,162319,128385,97278,85401,60233,44793,43549,1413936,1915000000,0.741464407,21962
Barts Health NHS Trust,8,5,3,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.753215598,22189
Barts Health NHS Trust,10,8,5,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.731643925,21590
Barts Health NHS Trust,12,9,5,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.721028179,25520
Barts Health NHS Trust,14,10,6,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.735137469,22967
Barts Health NHS Trust,18,14,10,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.695721147,25736
Barts Health NHS Trust,22,17,12,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.693502239,25517
Barts Health NHS Trust,26,21,16,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.674765122,24718
Barts Health NHS Trust,26,21,17,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.702064451,22642
Barts Health NHS Trust,19,16,13,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.704159593,22655
